Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.002892	0.136     	0.126559  	0.107252  	0.107252  	0.00561487	0.00561487	0.000422672	0.00067684	0.000309952
0.002894	0.13608   	0.126631  	0.107315  	0.107315  	0.00561537	0.00561537	0.000423043	0.000677422	0.000310232
0.002896	0.136161  	0.126702  	0.107378  	0.107378  	0.00561587	0.00561587	0.000423415	0.000678004	0.000310512
0.002898	0.136241  	0.126774  	0.107441  	0.107441  	0.00561636	0.00561636	0.000423786	0.000678586	0.000310792
0.002901	0.136321  	0.126846  	0.107504  	0.107504  	0.00561686	0.00561686	0.000424158	0.000679168	0.000311072
0.002903	0.136402  	0.126917  	0.107567  	0.107567  	0.00561735	0.00561735	0.000424529	0.00067975	0.000311352
0.002905	0.136482  	0.126989  	0.10763   	0.10763   	0.00561785	0.00561785	0.000424901	0.000680332	0.000311632
0.002907	0.136563  	0.127061  	0.107693  	0.107693  	0.00561835	0.00561835	0.000425272	0.000680913	0.000311912
0.002909	0.136643  	0.127132  	0.107756  	0.107756  	0.00561884	0.00561884	0.000425644	0.000681495	0.000312192
0.002911	0.136723  	0.127204  	0.107819  	0.107819  	0.00561934	0.00561934	0.000426015	0.000682077	0.000312472
0.002913	0.136804  	0.127276  	0.107882  	0.107882  	0.00561983	0.00561983	0.000426387	0.000682659	0.000312752
0.002916	0.136884  	0.127347  	0.107945  	0.107945  	0.00562033	0.00562033	0.000426758	0.000683241	0.000313032
0.002918	0.136964  	0.127419  	0.108008  	0.108008  	0.00562083	0.00562083	0.00042713	0.000683823	0.000313312
0.002920	0.137045  	0.127491  	0.10807   	0.10807   	0.00562132	0.00562132	0.000427501	0.000684405	0.000313592
0.002922	0.137125  	0.127563  	0.108133  	0.108133  	0.00562182	0.00562182	0.000427873	0.000684987	0.000313872
0.002924	0.137205  	0.127634  	0.108196  	0.108196  	0.00562231	0.00562231	0.000428244	0.000685569	0.000314152
0.002926	0.137286  	0.127706  	0.108259  	0.108259  	0.00562281	0.00562281	0.000428616	0.00068615	0.000314432
0.002929	0.137366  	0.127778  	0.108322  	0.108322  	0.00562331	0.00562331	0.000428987	0.000686732	0.000314712
0.002931	0.137447  	0.127849  	0.108385  	0.108385  	0.0056238 	0.0056238 	0.000429359	0.000687314	0.000314992
0.002933	0.137527  	0.127921  	0.108448  	0.108448  	0.0056243 	0.0056243 	0.00042973	0.000687896	0.000315272
0.002935	0.137607  	0.127993  	0.108511  	0.108511  	0.0056248 	0.0056248 	0.000430102	0.000688478	0.000315552
0.002937	0.137688  	0.128064  	0.108574  	0.108574  	0.00562529	0.00562529	0.000430473	0.00068906	0.000315832
0.002939	0.137768  	0.128136  	0.108637  	0.108637  	0.00562579	0.00562579	0.000430845	0.000689642	0.000316112
0.002942	0.137848  	0.128208  	0.1087    	0.1087    	0.00562628	0.00562628	0.000431216	0.000690224	0.000316392
0.002944	0.137929  	0.12828   	0.108763  	0.108763  	0.00562678	0.00562678	0.000431588	0.000690806	0.000316672
0.002946	0.138009  	0.128351  	0.108826  	0.108826  	0.00562728	0.00562728	0.000431959	0.000691387	0.000316952
0.002948	0.13809   	0.128423  	0.108889  	0.108889  	0.00562777	0.00562777	0.000432331	0.000691969	0.000317232
0.002950	0.13817   	0.128495  	0.108952  	0.108952  	0.00562827	0.00562827	0.000432702	0.000692551	0.000317512
0.002952	0.13825   	0.128566  	0.109015  	0.109015  	0.00562876	0.00562876	0.000433074	0.000693133	0.000317792
0.002955	0.138331  	0.128638  	0.109078  	0.109078  	0.00562926	0.00562926	0.000433445	0.000693715	0.000318072
0.002957	0.138411  	0.12871   	0.109141  	0.109141  	0.00562976	0.00562976	0.000433817	0.000694297	0.000318352
0.002959	0.138491  	0.128781  	0.109203  	0.109203  	0.00563025	0.00563025	0.000434188	0.000694879	0.000318632
0.002961	0.138572  	0.128853  	0.109266  	0.109266  	0.00563075	0.00563075	0.00043456	0.000695461	0.000318912
0.002963	0.138652  	0.128925  	0.109329  	0.109329  	0.00563124	0.00563124	0.000434931	0.000696043	0.000319192
0.002965	0.138733  	0.128997  	0.109392  	0.109392  	0.00563174	0.00563174	0.000435303	0.000696624	0.000319472
0.002968	0.138813  	0.129068  	0.109455  	0.109455  	0.00563224	0.00563224	0.000435674	0.000697206	0.000319752
0.002970	0.138893  	0.12914   	0.109518  	0.109518  	0.00563273	0.00563273	0.000436046	0.000697788	0.000320032
0.002972	0.138974  	0.129212  	0.109581  	0.109581  	0.00563323	0.00563323	0.000436417	0.00069837	0.000320312
0.002974	0.139054  	0.129283  	0.109644  	0.109644  	0.00563372	0.00563372	0.000436789	0.000698952	0.000320592
