 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Aluminum

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   8.070E-01  6.893E-04   10.68 um     4218 A      4338 A   
   3.25 MeV   7.731E-01  6.435E-04   11.85 um     4590 A      4620 A   
   3.50 MeV   7.422E-01  6.038E-04   13.07 um     4964 A      4914 A   
   3.75 MeV   7.139E-01  5.690E-04   14.33 um     5340 A      5218 A   
   4.00 MeV   6.881E-01  5.382E-04   15.65 um     5719 A      5533 A   
   4.50 MeV   6.423E-01  4.861E-04   18.43 um     7054 A      6195 A   
   5.00 MeV   6.029E-01  4.438E-04   21.40 um     8323 A      6898 A   
   5.50 MeV   5.688E-01  4.085E-04   24.55 um     9560 A      7641 A   
   6.00 MeV   5.389E-01  3.788E-04   27.89 um     1.08 um     8424 A   
   6.50 MeV   5.124E-01  3.533E-04   31.40 um     1.20 um     9244 A   
   7.00 MeV   4.888E-01  3.312E-04   35.09 um     1.32 um     1.01 um  
   8.00 MeV   4.484E-01  2.947E-04   42.99 um     1.75 um     1.19 um  
   9.00 MeV   4.140E-01  2.658E-04   51.56 um     2.15 um     1.39 um  
  10.00 MeV   3.821E-01  2.423E-04   60.85 um     2.55 um     1.60 um  
  11.00 MeV   3.570E-01  2.228E-04   70.86 um     2.94 um     1.82 um  
  12.00 MeV   3.354E-01  2.064E-04   81.54 um     3.33 um     2.06 um  
  13.00 MeV   3.166E-01  1.923E-04   92.88 um     3.73 um     2.32 um  
  14.00 MeV   2.999E-01  1.802E-04  104.88 um     4.13 um     2.58 um  
  15.00 MeV   2.852E-01  1.695E-04  117.51 um     4.53 um     2.86 um  
  16.00 MeV   2.720E-01  1.601E-04  130.78 um     4.94 um     3.15 um  
  17.00 MeV   2.601E-01  1.517E-04  144.68 um     5.35 um     3.45 um  
  18.00 MeV   2.493E-01  1.442E-04  159.19 um     5.77 um     3.77 um  
  20.00 MeV   2.305E-01  1.314E-04  190.03 um     7.30 um     4.44 um  
  22.50 MeV   2.110E-01  1.183E-04  231.93 um     9.49 um     5.34 um  
  25.00 MeV   1.949E-01  1.077E-04  277.50 um    11.56 um     6.32 um  
  27.50 MeV   1.813E-01  9.894E-05  326.67 um    13.58 um     7.36 um  
  30.00 MeV   1.696E-01  9.155E-05  379.37 um    15.60 um     8.47 um  
  32.50 MeV   1.596E-01  8.523E-05  435.55 um    17.61 um     9.65 um  
  35.00 MeV   1.507E-01  7.976E-05  495.15 um    19.64 um    10.89 um  
  37.50 MeV   1.429E-01  7.498E-05  558.12 um    21.69 um    12.20 um  
  40.00 MeV   1.359E-01  7.077E-05  624.44 um    23.76 um    13.58 um  
  45.00 MeV   1.240E-01  6.368E-05  766.80 um    31.38 um    16.51 um  
  50.00 MeV   1.143E-01  5.793E-05  922.09 um    38.56 um    19.69 um  
  55.00 MeV   1.060E-01  5.317E-05    1.09 mm    45.56 um    23.11 um  
  60.00 MeV   9.905E-02  4.916E-05    1.27 mm    52.50 um    26.76 um  
  65.00 MeV   9.301E-02  4.574E-05    1.46 mm    59.46 um    30.64 um  
  70.00 MeV   8.773E-02  4.279E-05    1.67 mm    66.46 um    34.74 um  
  80.00 MeV   7.896E-02  3.793E-05    2.11 mm    92.07 um    43.61 um  
  90.00 MeV   7.194E-02  3.410E-05    2.60 mm   115.94 um    53.34 um  
 100.00 MeV   6.619E-02  3.099E-05    3.14 mm   139.21 um    63.89 um  
 110.00 MeV   6.138E-02  2.843E-05    3.72 mm   162.35 um    75.25 um  
 120.00 MeV   5.730E-02  2.627E-05    4.34 mm   185.57 um    87.39 um  
 130.00 MeV   5.379E-02  2.443E-05    5.01 mm   209.00 um   100.31 um  
 140.00 MeV   5.074E-02  2.284E-05    5.72 mm   232.70 um   113.97 um  
 150.00 MeV   4.806E-02  2.145E-05    6.46 mm   256.70 um   128.36 um  
 160.00 MeV   4.568E-02  2.023E-05    7.25 mm   281.02 um   143.48 um  
 170.00 MeV   4.356E-02  1.915E-05    8.08 mm   305.68 um   159.30 um  
