 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Boron

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.20 MeV   1.777E+00  1.586E-03    2.86 um     1053 A      1088 A   
   1.30 MeV   1.723E+00  1.480E-03    3.10 um     1115 A      1121 A   
   1.40 MeV   1.672E+00  1.389E-03    3.35 um     1177 A      1155 A   
   1.50 MeV   1.622E+00  1.309E-03    3.61 um     1239 A      1189 A   
   1.60 MeV   1.575E+00  1.238E-03    3.88 um     1303 A      1224 A   
   1.70 MeV   1.530E+00  1.175E-03    4.15 um     1367 A      1260 A   
   1.80 MeV   1.486E+00  1.118E-03    4.43 um     1431 A      1296 A   
   2.00 MeV   1.406E+00  1.021E-03    5.02 um     1669 A      1372 A   
   2.25 MeV   1.316E+00  9.217E-04    5.80 um     2018 A      1472 A   
   2.50 MeV   1.237E+00  8.410E-04    6.64 um     2353 A      1578 A   
   2.75 MeV   1.166E+00  7.739E-04    7.52 um     2682 A      1691 A   
   3.00 MeV   1.103E+00  7.173E-04    8.46 um     3009 A      1811 A   
   3.25 MeV   1.046E+00  6.688E-04    9.45 um     3336 A      1938 A   
   3.50 MeV   9.949E-01  6.268E-04   10.49 um     3664 A      2072 A   
   3.75 MeV   9.486E-01  5.900E-04   11.58 um     3996 A      2212 A   
   4.00 MeV   9.066E-01  5.575E-04   12.73 um     4331 A      2360 A   
   4.50 MeV   8.332E-01  5.027E-04   15.18 um     5579 A      2676 A   
   5.00 MeV   7.711E-01  4.581E-04   17.83 um     6759 A      3020 A   
