 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Phosphorus

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   1.297E+00  1.872E-03    3.99 um     2617 A      3338 A   
   1.00 MeV   1.258E+00  1.716E-03    4.41 um     2726 A      3467 A   
   1.10 MeV   1.220E+00  1.586E-03    4.86 um     2837 A      3597 A   
   1.20 MeV   1.184E+00  1.476E-03    5.31 um     2948 A      3729 A   
   1.30 MeV   1.150E+00  1.381E-03    5.78 um     3062 A      3863 A   
   1.40 MeV   1.117E+00  1.298E-03    6.26 um     3177 A      3999 A   
   1.50 MeV   1.087E+00  1.225E-03    6.76 um     3294 A      4138 A   
   1.60 MeV   1.058E+00  1.161E-03    7.26 um     3414 A      4279 A   
   1.70 MeV   1.030E+00  1.103E-03    7.79 um     3535 A      4424 A   
   1.80 MeV   1.005E+00  1.051E-03    8.33 um     3658 A      4572 A   
   2.00 MeV   9.574E-01  9.620E-04    9.44 um     4064 A      4877 A   
   2.25 MeV   9.051E-01  8.708E-04   10.91 um     4663 A      5276 A   
   2.50 MeV   8.590E-01  7.963E-04   12.46 um     5251 A      5695 A   
   2.75 MeV   8.182E-01  7.343E-04   14.09 um     5834 A      6133 A   
   3.00 MeV   7.818E-01  6.818E-04   15.80 um     6415 A      6591 A   
   3.25 MeV   7.491E-01  6.367E-04   17.59 um     6997 A      7068 A   
   3.50 MeV   7.196E-01  5.975E-04   19.45 um     7581 A      7564 A   
   3.75 MeV   6.928E-01  5.632E-04   21.39 um     8167 A      8077 A   
   4.00 MeV   6.683E-01  5.328E-04   23.40 um     8757 A      8608 A   
   4.50 MeV   6.252E-01  4.814E-04   27.64 um     1.08 um     9720 A   
   5.00 MeV   5.883E-01  4.396E-04   32.15 um     1.28 um     1.09 um  
   5.50 MeV   5.565E-01  4.048E-04   36.94 um     1.46 um     1.21 um  
   6.00 MeV   5.285E-01  3.754E-04   41.99 um     1.65 um     1.34 um  
   6.50 MeV   5.038E-01  3.502E-04   47.30 um     1.83 um     1.48 um  
   7.00 MeV   4.818E-01  3.283E-04   52.85 um     2.02 um     1.62 um  
   8.00 MeV   4.442E-01  2.923E-04   64.70 um     2.66 um     1.92 um  
   9.00 MeV   4.102E-01  2.637E-04   77.53 um     3.26 um     2.24 um  
  10.00 MeV   3.787E-01  2.405E-04   91.44 um     3.85 um     2.58 um  
  11.00 MeV   3.539E-01  2.212E-04  106.41 um     4.44 um     2.94 um  
  12.00 MeV   3.326E-01  2.049E-04  122.38 um     5.02 um     3.33 um  
  13.00 MeV   3.140E-01  1.910E-04  139.33 um     5.62 um     3.73 um  
  14.00 MeV   2.976E-01  1.789E-04  157.26 um     6.21 um     4.16 um  
  15.00 MeV   2.830E-01  1.684E-04  176.14 um     6.82 um     4.61 um  
  16.00 MeV   2.700E-01  1.590E-04  195.97 um     7.43 um     5.08 um  
  17.00 MeV   2.582E-01  1.507E-04  216.72 um     8.05 um     5.57 um  
  18.00 MeV   2.476E-01  1.433E-04  238.40 um     8.67 um     6.07 um  
  20.00 MeV   2.290E-01  1.305E-04  284.44 um    10.96 um     7.15 um  
  22.50 MeV   2.097E-01  1.176E-04  346.99 um    14.23 um     8.60 um  
  25.00 MeV   1.937E-01  1.071E-04  415.00 um    17.33 um    10.16 um  
  27.50 MeV   1.802E-01  9.838E-05  488.35 um    20.35 um    11.83 um  
  30.00 MeV   1.687E-01  9.104E-05  566.96 um    23.36 um    13.61 um  
  32.50 MeV   1.587E-01  8.477E-05  650.74 um    26.37 um    15.50 um  
  35.00 MeV   1.499E-01  7.934E-05  739.60 um    29.41 um    17.50 um  
  37.50 MeV   1.421E-01  7.460E-05  833.49 um    32.47 um    19.60 um  
  40.00 MeV   1.352E-01  7.041E-05  932.33 um    35.57 um    21.80 um  
  45.00 MeV   1.234E-01  6.337E-05    1.14 mm    46.94 um    26.50 um  
  50.00 MeV   1.137E-01  5.765E-05    1.38 mm    57.64 um    31.58 um  
  55.00 MeV   1.056E-01  5.293E-05    1.63 mm    68.09 um    37.05 um  
  60.00 MeV   9.863E-02  4.895E-05    1.89 mm    78.45 um    42.90 um  
  65.00 MeV   9.263E-02  4.555E-05    2.18 mm    88.83 um    49.10 um  
  70.00 MeV   8.739E-02  4.261E-05    2.49 mm    99.29 um    55.67 um  
  80.00 MeV   7.867E-02  3.777E-05    3.15 mm   137.42 um    69.85 um  
  90.00 MeV   7.170E-02  3.397E-05    3.88 mm   172.97 um    85.39 um  
 100.00 MeV   6.598E-02  3.088E-05    4.67 mm   207.64 um   102.25 um  
 110.00 MeV   6.120E-02  2.833E-05    5.54 mm   242.12 um   120.40 um  
 120.00 MeV   5.714E-02  2.618E-05    6.47 mm   276.72 um   139.79 um  
 130.00 MeV   5.365E-02  2.435E-05    7.46 mm   311.64 um   160.41 um  
 140.00 MeV   5.061E-02  2.277E-05    8.51 mm   346.95 um   182.23 um  
 150.00 MeV   4.794E-02  2.139E-05    9.62 mm   382.73 um   205.21 um  
 160.00 MeV   4.557E-02  2.017E-05   10.79 mm   418.98 um   229.33 um  
 170.00 MeV   4.346E-02  1.909E-05   12.03 mm   455.74 um   254.58 um  
 180.00 MeV   4.156E-02  1.812E-05   13.32 mm   493.00 um   280.92 um  
 200.00 MeV   3.829E-02  1.647E-05   16.07 mm   631.82 um   336.84 um  
 225.00 MeV   3.495E-02  1.479E-05   19.81 mm   829.55 um   412.58 um  
 250.00 MeV   3.223E-02  1.344E-05   23.90 mm     1.02 mm   494.54 um  
 275.00 MeV   2.997E-02  1.232E-05   28.31 mm     1.20 mm   582.47 um  
 300.00 MeV   2.806E-02  1.138E-05   33.04 mm     1.38 mm   676.13 um  
 325.00 MeV   2.642E-02  1.057E-05   38.08 mm     1.56 mm   775.30 um  
 350.00 MeV   2.500E-02  9.882E-06   43.41 mm     1.74 mm   879.78 um  
 375.00 MeV   2.375E-02  9.277E-06   49.04 mm     1.92 mm   989.37 um  
 400.00 MeV   2.265E-02  8.745E-06   54.95 mm     2.10 mm     1.10 mm  
 450.00 MeV   2.080E-02  7.851E-06   67.58 mm     2.77 mm     1.35 mm  
 500.00 MeV   1.930E-02  7.128E-06   81.27 mm     3.39 mm     1.61 mm  
 550.00 MeV   1.805E-02  6.531E-06   95.96 mm     4.00 mm     1.89 mm  
 600.00 MeV   1.701E-02  6.030E-06  111.61 mm     4.58 mm     2.18 mm  
 650.00 MeV   1.611E-02  5.602E-06  128.18 mm     5.17 mm     2.49 mm  
 700.00 MeV   1.534E-02  5.233E-06  145.63 mm     5.74 mm     2.81 mm  
 800.00 MeV   1.407E-02  4.628E-06  182.97 mm     7.84 mm     3.49 mm  
 900.00 MeV   1.308E-02  4.153E-06  223.41 mm     9.73 mm     4.22 mm  
   1.00 GeV   1.228E-02  3.769E-06  266.70 mm    11.54 mm     4.98 mm  
   1.10 GeV   1.162E-02  3.452E-06  312.64 mm    13.28 mm     5.78 mm  
   1.20 GeV   1.107E-02  3.185E-06  361.02 mm    14.98 mm     6.62 mm  
   1.30 GeV   1.060E-02  2.959E-06  411.67 mm    16.64 mm     7.48 mm  
   1.40 GeV   1.020E-02  2.763E-06  464.42 mm    18.28 mm     8.36 mm  
   1.50 GeV   9.853E-03  2.592E-06  519.14 mm    19.90 mm     9.27 mm  
   1.60 GeV   9.551E-03  2.442E-06  575.69 mm    21.49 mm    10.20 mm  
   1.70 GeV   9.285E-03  2.309E-06  633.93 mm    23.06 mm    11.14 mm  
   1.80 GeV   9.050E-03  2.190E-06  693.78 mm    24.62 mm    12.10 mm  
