 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 16, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Si- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.80 MeV   1.212E+00  1.181E-03    8.02 um     3373 A      4219 A   
   2.00 MeV   1.153E+00  1.080E-03    8.99 um     3697 A      4416 A   
   2.25 MeV   1.088E+00  9.763E-04   10.28 um     4185 A      4673 A   
   2.50 MeV   1.029E+00  8.921E-04   11.65 um     4672 A      4945 A   
   2.75 MeV   9.764E-01  8.220E-04   13.10 um     5161 A      5230 A   
   3.00 MeV   9.294E-01  7.627E-04   14.61 um     5653 A      5531 A   
   3.25 MeV   8.872E-01  7.119E-04   16.21 um     6150 A      5847 A   
   3.50 MeV   8.491E-01  6.677E-04   17.87 um     6653 A      6179 A   
   3.75 MeV   8.145E-01  6.291E-04   19.61 um     7161 A      6525 A   
   4.00 MeV   7.829E-01  5.949E-04   21.43 um     7675 A      6887 A   
   4.50 MeV   7.276E-01  5.371E-04   25.26 um     9526 A      7655 A   
   5.00 MeV   6.806E-01  4.900E-04   29.38 um     1.13 um     8482 A   
   5.50 MeV   6.401E-01  4.510E-04   33.76 um     1.30 um     9364 A   
   6.00 MeV   6.048E-01  4.180E-04   38.41 um     1.47 um     1.03 um  
   6.50 MeV   5.738E-01  3.897E-04   43.33 um     1.64 um     1.13 um  
   7.00 MeV   5.462E-01  3.652E-04   48.50 um     1.81 um     1.23 um  
   8.00 MeV   4.993E-01  3.249E-04   59.59 um     2.42 um     1.46 um  
   9.00 MeV   4.627E-01  2.929E-04   71.64 um     2.99 um     1.70 um  
  10.00 MeV   4.279E-01  2.670E-04   84.66 um     3.54 um     1.95 um  
  11.00 MeV   3.992E-01  2.454E-04   98.68 um     4.08 um     2.23 um  
  12.00 MeV   3.745E-01  2.273E-04  113.66 um     4.63 um     2.53 um  
  13.00 MeV   3.530E-01  2.117E-04  129.59 um     5.18 um     2.84 um  
  14.00 MeV   3.341E-01  1.983E-04  146.46 um     5.74 um     3.17 um  
  15.00 MeV   3.173E-01  1.865E-04  164.25 um     6.30 um     3.51 um  
  16.00 MeV   3.023E-01  1.761E-04  182.95 um     6.88 um     3.87 um  
  17.00 MeV   2.889E-01  1.669E-04  202.55 um     7.45 um     4.25 um  
  18.00 MeV   2.767E-01  1.586E-04  223.04 um     8.04 um     4.64 um  
  20.00 MeV   2.554E-01  1.444E-04  266.63 um    10.21 um     5.48 um  
  22.50 MeV   2.334E-01  1.300E-04  325.95 um    13.32 um     6.60 um  
  25.00 MeV   2.153E-01  1.184E-04  390.57 um    16.25 um     7.82 um  
  27.50 MeV   2.000E-01  1.087E-04  460.37 um    19.13 um     9.13 um  
  30.00 MeV   1.869E-01  1.005E-04  535.28 um    21.98 um    10.53 um  
